Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA1015483,LESIKA TECHNOLOGIES (PTY) LTD,LESIKA TECHNOLOGIES (PTY) LTD,BLOCK E FIRST FLOOR  THE VILLAGE FAERIE GLEN,CNR GLENWOOD & OBERON AVE,FAERIE GLEN PRETORIA 0081,'0045
TA1015484,LISER TRADING CC,LISER TRADING CC,3 MC ALPINE ROAD,MALVERN EAST,MALVERN EAST,'2022
TA1015485,COMPUTECH BUSINESS SERVICES,COMPUTECH BUSINESS SERVICES,CHIMBERE HIGHWAY,GINNERY CORNER  BLANTYRE,MALAWI,'2000
TA1015487,ZENETH TELECOMMUNICATION CC,ZENETH TELECOMMUNICATION CC,UNIT 20 VILLA VALENCIA OFFICE PARK,4 ANEMOON STREET GLEN MARAIS,KEMPTON PARK,'1465
TA1015498,BOVI TRADING (PTY) LTD,BOVI TRADING (PTY) LTD,130  GUILDFORD ROAD,CARLSWALD A.H.,MIDRAND,'1684
TA1015509,OUTSOURCE HOUSE CC,OUTSOURCE HOUSE CC,27 13TH AVENUE,EDENVALE,GAUTENG,'1609
TA1015521,A H H FINANCIAL SERVICES CC,A H H FINANCIAL SERVICES CC,42 VALLEY ROAD,ROBIN HILLS,RANDBURG,'3032
TA1015525,W J KEMP & ASSOCIATES CC,W J KEMP & ASSOCIATES CC,4 MT THOR STREET,MIDLANDS ESTATE,MIDTREAM 0140,'0140
TA1015528,WINTEK COMPUTER SERVICES cc,WINTEK COMPUTER SERVICES cc,SHOP NO 5 CIVIC TOWER,CNR BICCARD & STIEMENS STR,BRAAMFONTEIN,'2017
TA1015529,BONFIGLIOLI SOUTH AFRICA (PTY) LTD,BONFIGLIOLI SOUTH AFRICA (PTY) LTD,55 GALAXY AVE,LINBRO BUSINESS PARK,SANDTON,'2054
TA1015532,CITY TO CITY COMPUTER SERVICES CC,CITY TO CITY COMPUTER SERVICES CC,31 LINCOLN ROAD CORROCOAT COMPLEX,BENONI SOUTH 1502,BENONI,'1518
TA1015537,MICRO GENI CC,MICRO GENI CC,76 JAN SMUTS AVE,SAXONWOLD,JOHANNESBURG,'2052
TA1015540,TRIPONZA TRADING 376 T/A BUSINESS SERVIC,TRIPONZA TRADING 376 T/A BUSINESS SERVICES,14 DICKENS PLACE,TULISA PARK,TULISA PARK,'2136
TA1015547,EDENVALE COMPUTERS,EDENVALE COMPUTERS,25 VAN RIEBEECK MALL,VAN RIEBEECK AVE,EDENVALE,'1613
TA1015557,COMPUREP COMPUTER SPECIALIST CC,COMPUREP COMPUTER SPECIALIST CC,68 SHELLEY ROAD,LOMBARDY EAST,GAUTENG,'2018
TA1015559,PERFORM SET TECHNOLOGIES CC,PERFORM SET TECHNOLOGIES CC,NO 7 WESTER SERVICE RD,WENDYWOOD,JHB,'2128
TA1015583,T V R DISTRIBUTION (PTY) LTD,T V R DISTRIBUTION (PTY) LTD,UNIT 11: 8 TRINITY CLOSE,CAMBRIDGE COMMERCIAL PARK,PAULSHOF,'2157
TA1015587,INCEPTION IT SOLUTIONS & SERVICES CC,INCEPTION IT SOLUTIONS & SERVICES CC,46 CHARTERLAND AVENUE,SELCOURT,SPRINGS,'2008
TA1015598,KAIRALI TRADING,KAIRALI TRADING,OXFORD MANOR: BLOCK 1,196 OXFORD ROAD  ILLOVO,JHB,'2116
TA1015600,AFTERMART COMPUTERS CC,AFTERMART COMPUTERS CC,NO121 ELOFF STR EXT,SELBY ,JOHANNESBURG,'2013
TA1015601,GAMA BUSINESS SYSTEMS CC,GAMA BUSINESS SYSTEMS CC,NO.72 CENTRAL ROAD,LINDEN EXT,GAUTENG,'2104
TA1015612,EET EUROPARTS (PTY) LTD,EET EUROPARTS (PTY) LTD,5 MOUNT JOY STREET,WILBART,GERMISTON  1401,'1610
TA1015616,PINPOS CC T/A INTOUCH POINT OF SALE,PINPOS CC T/A INTOUCH POINT OF SALE,1ST FLOOR GREY BUILDING,CNR YACHT & BRAAM STREETS LASER PARK,HONEYDEW,'2040
TA1015617,COMPUTER BUSINESS SOLUTION,C B S NORTH CC ,58 MARULA STREET,DOWERGLEN EXT 5,EDENVALE,'7995
TA1015618,SHEMEN COMPUTERS CC,SHEMEN COMPUTERS CC,3 WISTERIASTRAAT,BRAKENDOWNS ALBERTON 1448,GAUTENG,'2135
TA1015621,TECHNO SUPPLY COMPANY,TECHNO SUPPLY COMPANY,266 JULIUS JEPPE STR,WATERKLOOF,PRETORIA,'0075
TA1015626,DD TOD T/A D D ENTERPRISES,DD TOD T/A D D ENTERPRISES,3 THATCH WAY,LAKEFIELD,BENONI,'1412
TA1015649,S A T I S (PTY) LTD,S A T I S (PTY) LTD,UNIT 104A BANK FORUM BUILDING,377 BRONKHORST STREET,NEW MUCKLENEUK 0181,'0007
TA1015669,RIC-COMPUTER LDA,RIC-COMPUTER LDA,AV 25 DE SETEMBRO NO 2400,1 ANDAR,MAPUTO,'MAPUTO
TA1015671,ENGINEERING AND ELECTRICAL SUPPLIES CC,ENGINEERING AND ELECTRICAL SUPPLIES CC,PLOT 19 CNR BOLANDE & JUBILEE STREET,SONNEDAL AH,HONEYDEW,'1715
TA1015685,COMIT SOLUTIONS (PTY) LTD,COMIT SOLUTIONS (PTY) LTD,104 WILLIAM ROAD,NORWOOD,JHB,'2000
TA1015689,B C I T (PTY) LTD,B C I T (PTY) LTD,OFFICE 2 CNR CAMBRIDGE & FRANS HALS,PETERVALE,SANDTON,'2128
TA1015708,PC LOGIC,PC LOGIC,UNIT 50-1,CENTRAL PARK 12 SUIKERRIET STREET,NELSPRUIT MPUMALANGA,'1200
TA1015712,OFFITECH SOLUTIONS CC,OFFITECH SOLUTIONS CC,RHOGAR BUILDING,CNR UNION AND SMUTS STREET,VEREENIGING,'1936
TA1015713,PARK AVENUE STATIONERS,PARK AVENUE STATIONERS,184 MAIN ROAD ,FORDSBURG,FORDSBURG,'2025
TA1015725,LIMITECH,LIMITECH,9 GENERAL JOUBERT STR,PIETERSBURG,JHB,'0700
TA1015739,FLIGHTECH CC,FLIGHTECH CC,IRON FIREMAN HOUSE,338 MAIN STR,JEPPESTOWN,'2043
TA1015752,N D J TECHNOLOGY CC T/A TECHNOLOGY UNLIMITED,N D J TECHNOLOGY CC T/A TECHNOLOGY UNLIMITED,8 GALENIET STREET,JUKSKEI PARK,JUKSKEI PARK,'2153
TA1015753,STOPHER IT CC,STOPHER IT CC,270/5 3RD STREET,CHARTWELL FOURWAYS 575,STRUBENSVALLEY 1735,'1735
